Date,Total Transactions,Total Amount
2021-01-01,1450,947307000
2021-01-02,1642,43196000
2021-01-03,1605,-7150000
2021-01-04,2474,1341879000
2021-01-05,2503,1841717000
2021-01-06,2071,1648324000
2021-01-07,2170,2133597000
2021-01-08,2364,777995000
2021-01-09,1984,834489000
2021-01-10,1694,123080000
2021-01-11,2418,1013990000
2021-01-12,2154,2348333000
2021-01-13,2109,1154928000
2021-01-14,2145,46056000
2021-01-15,2342,2055994000
2021-01-16,2158,770045000
2021-01-17,1629,5820000
2021-01-18,2366,647465000
2021-01-19,2317,-532497000
2021-01-20,2191,445861000
2021-01-21,2111,1001657000
2021-01-22,2149,1417347000
2021-01-23,1933,462629000
2021-01-24,1576,300824000
2021-01-25,2335,1302696000
2021-01-26,2260,175884000
2021-01-27,2549,2179173000
2021-01-28,2469,3300345000
2021-01-29,2987,326923000
2021-01-30,2426,488961000
2021-01-31,2047,-243879000
2021-02-01,2982,397708000
2021-02-02,3128,2772421000
2021-02-03,3092,297721000
2021-02-04,3166,3221193000
2021-02-05,3617,3657259000
2021-02-06,2816,683634000
2021-02-07,2082,-2084214000
2021-02-08,3088,3196687000
2021-02-09,3053,-61438000
2021-02-10,2066,-269676000
2021-02-11,2259,404457000
2021-02-12,1826,299795000
2021-02-13,1119,-79301000
2021-02-14,1271,-74489000
2021-02-15,1166,-370687000
2021-02-16,1349,308789000
2021-02-17,2113,1138261000
2021-02-18,2009,1342127000
2021-02-19,2097,1430768000
2021-02-20,2016,-306641000
2021-02-21,1711,-97486000
2021-02-22,2432,1173649000
2021-02-23,2110,-882033000
2021-02-24,2191,2386737000
2021-02-25,2408,2325458000
2021-02-26,2531,4699636000
2021-02-27,1978,1738463000
2021-02-28,1771,-916307000
2021-03-01,2266,1002347000
2021-03-02,2192,1326782000
2021-03-03,2573,1306057000
2021-03-04,2177,788700000
2021-03-05,2676,1064497000
2021-03-06,2092,3225440000
2021-03-07,1865,-218846000
2021-03-08,2898,-306862000
2021-03-09,2500,1843779000
2021-03-10,2589,863727000
2021-03-11,2384,418602000
2021-03-12,2244,489590000
2021-03-13,1907,445401000
2021-03-14,1857,-201686000
2021-03-15,2512,242788000
2021-03-16,2305,2287206000
2021-03-17,2200,3995188000
2021-03-18,2015,1642909000
2021-03-19,2257,1812643000
2021-03-20,2075,461683000
2021-03-21,1753,-132485000
2021-03-22,2266,48803000
2021-03-23,2183,2276073000
2021-03-24,2127,-176223000
2021-03-25,2246,466506000
2021-03-26,2142,866523000
2021-03-27,2176,321753000
2021-03-28,1890,-555965000
2021-03-29,2411,1022451000
2021-03-30,2373,1456000000
2021-03-31,2743,4456119000
2021-04-01,17,7775000
